CO,MSRDT,MSRSTE_NM,NO2,O3,PM10,PM25,SO2
0.4,200901010000,강남구,0.023,0.015,48.0,14.0,0.006
0.4,200901010100,강남구,0.027,0.012,35.0,17.0,0.006
0.4,200901010200,강남구,0.024,0.014,33.0,13.0,0.006
0.4,200901010300,강남구,0.018,0.016,52.0,14.0,0.006
0.3,200901010400,강남구,0.017,0.015,26.0,17.0,0.006
0.3,200901010500,강남구,0.014,0.017,38.0,13.0,0.005
0.3,200901010600,강남구,0.014,0.016,38.0,20.0,0.005
0.3,200901010700,강남구,0.017,0.014,34.0,22.0,0.006
0.4,200901010800,강남구,0.018,0.014,52.0,28.0,0.005
0.4,200901010900,강남구,0.028,0.008,23.0,18.0,0.005
0.4,200901011000,강남구,0.026,0.011,27.0,13.0,0.006
0.5,200901011100,강남구,0.026,0.011,30.0,12.0,0.006
0.5,200901011200,강남구,0.024,0.013,33.0,21.0,0.007
0.5,200901011300,강남구,0.026,0.013,35.0,15.0,0.008
0.5,200901011400,강남구,0.021,0.017,52.0,17.0,0.006
0.4,200901011500,강남구,0.018,0.019,46.0,19.0,0.007
0.4,200901011600,강남구,0.023,0.017,52.0,18.0,0.007
0.4,200901011700,강남구,0.025,0.016,59.0,17.0,0.006
0.4,200901011800,강남구,0.031,0.012,41.0,15.0,0.006
0.4,200901011900,강남구,0.03,0.012,34.0,19.0,0.005
0.4,200901012000,강남구,0.03,0.01,47.0,24.0,0.006
0.4,200901012100,강남구,0.043,0.003,37.0,16.0,0.006
0.6,200901012200,강남구,0.049,0.001,53.0,25.0,0.006
0.6,200901012300,강남구,0.048,0.0,36.0,13.0,0.006
0.3,200901010000,강동구,0.024,0.011,39.0,13.0,0.007
0.3,200901010100,강동구,0.022,0.012,38.0,16.0,0.007
0.3,200901010200,강동구,0.02,0.012,38.0,13.0,0.007
0.3,200901010300,강동구,0.019,0.012,41.0,7.0,0.006
0.3,200901010400,강동구,0.022,0.009,47.0,15.0,0.006
0.3,200901010500,강동구,0.019,0.011,48.0,10.0,0.006
0.3,200901010600,강동구,0.019,0.011,41.0,16.0,0.006
0.3,200901010700,강동구,0.023,0.009,42.0,14.0,0.006
0.3,200901010800,강동구,0.022,0.008,34.0,11.0,0.006
0.3,200901010900,강동구,0.021,0.01,50.0,26.0,0.007
0.3,200901011000,강동구,0.018,0.012,45.0,11.0,0.006
0.3,200901011100,강동구,0.011,0.015,35.0,21.0,0.006
0.3,200901011200,강동구,0.01,0.016,55.0,14.0,0.007
0.3,200901011300,강동구,0.013,0.016,50.0,9.0,0.006
0.4,200901011400,강동구,0.024,0.013,58.0,19.0,0.007
0.4,200901011500,강동구,0.022,0.013,47.0,22.0,0.007
0.4,200901011600,강동구,0.026,0.012,43.0,16.0,0.007
0.3,200901011700,강동구,0.027,0.011,52.0,23.0,0.007
0.3,200901011800,강동구,0.033,0.008,50.0,13.0,0.006
0.4,200901011900,강동구,0.035,0.008,50.0,15.0,0.006
0.3,200901012000,강동구,0.035,0.007,39.0,15.0,0.007
0.4,200901012100,강동구,0.044,0.003,46.0,21.0,0.006
0.5,200901012200,강동구,0.05,0.001,50.0,26.0,0.007
0.6,200901012300,강동구,0.052,0.002,55.0,15.0,0.008
0.5,200901010000,강북구,0.028,0.021,46.0,12.0,0.008
0.5,200901010100,강북구,0.027,0.018,49.0,38.0,0.007
0.5,200901010200,강북구,0.025,0.02,35.0,26.0,0.006
0.5,200901010300,강북구,0.023,0.02,43.0,18.0,0.007
0.5,200901010400,강북구,0.022,0.021,42.0,24.0,0.006
0.5,200901010500,강북구,0.021,0.02,46.0,10.0,0.006
0.5,200901010600,강북구,0.022,0.02,34.0,27.0,0.007
0.5,200901010700,강북구,0.024,0.013,34.0,24.0,0.007
0.6,200901010800,강북구,0.029,0.007,48.0,13.0,0.008
0.6,200901010900,강북구,0.029,0.009,45.0,19.0,0.008
0.6,200901011000,강북구,0.029,0.009,42.0,14.0,0.008
0.5,200901011100,강북구,0.027,0.02,42.0,28.0,0.007
0.5,200901011200,강북구,0.025,0.02,31.0,33.0,0.007
0.5,200901011300,강북구,0.025,0.024,42.0,29.0,0.007
0.5,200901011400,강북구,0.025,0.026,50.0,25.0,0.006
0.5,200901011500,강북구,0.025,0.028,35.0,23.0,0.006
0.4,200901011600,강북구,0.023,0.03,40.0,34.0,0.006
0.5,200901011700,강북구,0.024,0.024,34.0,30.0,0.006
0.5,200901011800,강북구,0.027,0.023,0.0,25.0,0.006
0.6,200901011900,강북구,0.028,0.017,38.0,31.0,0.008
0.8,200901012000,강북구,0.033,0.007,49.0,37.0,0.008
0.8,200901012100,강북구,0.034,0.007,48.0,21.0,0.008
0.9,200901012200,강북구,0.037,0.004,38.0,36.0,0.009
0.8,200901012300,강북구,0.037,0.005,46.0,21.0,0.009
0.5,200901010000,강서구,0.026,0.013,43.0,18.0,0.006
0.5,200901010100,강서구,0.019,0.019,40.0,19.0,0.005
0.5,200901010200,강서구,0.018,0.018,41.0,18.0,0.005
0.5,200901010300,강서구,0.016,0.019,37.0,18.0,0.005
0.5,200901010400,강서구,0.013,0.021,39.0,18.0,0.005
0.5,200901010500,강서구,0.013,0.018,39.0,20.0,0.005
0.5,200901010600,강서구,0.013,0.019,38.0,20.0,0.006
0.5,200901010700,강서구,0.015,0.017,43.0,18.0,0.006
0.9,200901010800,강서구,0.029,0.005,46.0,24.0,0.007
0.9,200901010900,강서구,0.023,0.01,51.0,24.0,0.007
0.9,200901011000,강서구,0.024,0.012,48.0,23.0,0.008
0.8,200901011100,강서구,0.016,0.021,47.0,27.0,0.007
