DC10_LMCS_CA,DC10_TCA,GND_STT_CD,HM,ICSR,M0_05_TE,M0_1_TE,M0_2_TE,M0_3_TE,PA,PS,PV,RNUM,SS,STN_ID,STN_NM,TA,TD,TM,TS,VS,WD,WS
0.0,0.0,,55,,,,,,1013.7,1024.9,1.9,1,,108,서울,-7.6,-15.0,2009-01-01 00:00,-10.1,1600.0,290,2.1
,,,54,,,,,,1013.7,1024.9,1.8,2,,108,서울,-7.8,-15.5,2009-01-01 01:00,-10.3,,320,2.3
,,,52,,,,,,1013.8,1025.1,1.7,3,,108,서울,-8.1,-16.2,2009-01-01 02:00,-10.8,,340,2.0
0.0,0.0,4.0,52,,-4.0,-2.3,0.0,1.2,1014.2,1025.5,1.7,4,,108,서울,-8.5,-16.6,2009-01-01 03:00,-10.7,1500.0,290,2.4
0.0,0.0,,53,,,,,,1014.3,1025.6,1.7,5,,108,서울,-8.8,-16.6,2009-01-01 04:00,-11.0,1500.0,320,2.1
0.0,0.0,,55,,,,,,1014.6,1025.9,1.7,6,,108,서울,-9.0,-16.4,2009-01-01 05:00,-11.2,1500.0,340,1.7
0.0,0.0,,54,,,,,,1014.7,1026.0,1.7,7,,108,서울,-9.0,-16.6,2009-01-01 06:00,-10.9,1500.0,290,3.0
0.0,0.0,,54,,,,,,1015.3,1026.6,1.6,8,,108,서울,-9.4,-17.0,2009-01-01 07:00,-11.7,1500.0,360,0.7
0.0,0.0,,53,0.0,,,,,1015.7,1027.0,1.6,9,0.0,108,서울,-9.3,-17.1,2009-01-01 08:00,-11.1,1600.0,290,2.2
0.0,0.0,4.0,49,0.2,-4.7,-3.1,-0.3,0.9,1016.2,1027.5,1.6,10,0.8,108,서울,-8.6,-17.4,2009-01-01 09:00,-8.9,1600.0,320,3.0
0.0,0.0,,45,0.75,,,,,1016.8,1028.1,1.5,11,1.0,108,서울,-7.8,-17.6,2009-01-01 10:00,-1.0,1200.0,290,3.7
0.0,0.0,,42,1.29,,,,,1016.6,1027.8,1.6,12,1.0,108,서울,-6.7,-17.5,2009-01-01 11:00,3.8,1100.0,290,2.7
0.0,0.0,,39,1.6,,,,,1015.9,1027.1,1.6,13,1.0,108,서울,-5.3,-17.1,2009-01-01 12:00,-2.4,1100.0,270,2.6
0.0,0.0,,38,1.72,,,,,1015.6,1026.7,1.7,14,1.0,108,서울,-4.6,-16.7,2009-01-01 13:00,-1.2,1100.0,320,2.8
0.0,0.0,,36,1.63,,,,,1015.2,1026.3,1.7,15,1.0,108,서울,-3.8,-16.7,2009-01-01 14:00,6.3,1100.0,290,3.6
0.0,0.0,1.0,35,1.31,-0.5,-1.3,-0.3,0.9,1015.2,1026.3,1.7,16,1.0,108,서울,-3.1,-16.4,2009-01-01 15:00,2.9,1200.0,290,3.9
0.0,0.0,,34,0.76,,,,,1015.4,1026.5,1.7,17,1.0,108,서울,-2.9,-16.6,2009-01-01 16:00,-1.5,1200.0,290,2.9
0.0,0.0,,36,0.23,,,,,1015.7,1026.8,1.8,18,1.0,108,서울,-3.1,-16.0,2009-01-01 17:00,-3.6,1400.0,290,2.9
0.0,0.0,,38,0.0,,,,,1016.0,1027.1,1.8,19,0.0,108,서울,-3.4,-15.7,2009-01-01 18:00,-5.8,1300.0,290,2.1
,,,40,,,,,,1016.5,1027.6,1.8,20,,108,서울,-3.9,-15.5,2009-01-01 19:00,-7.7,,340,0.8
,,,40,,,,,,1016.9,1028.0,1.8,21,,108,서울,-3.8,-15.4,2009-01-01 20:00,-7.9,,290,1.6
0.0,0.0,4.0,45,,-2.5,-1.3,-0.1,0.9,1017.0,1028.1,2.0,22,,108,서울,-4.0,-14.2,2009-01-01 21:00,-8.3,1300.0,270,1.4
,,,49,,,,,,1017.1,1028.2,2.2,23,,108,서울,-4.3,-13.4,2009-01-01 22:00,-8.8,,270,1.6
,,,52,,,,,,1017.4,1028.5,2.3,24,,108,서울,-4.4,-12.7,2009-01-01 23:00,-9.0,,290,1.0
